# FAST-LIVO2 runtime diagnostics
# node=fast_livo2,package=fast_livo
# values are sampled approximately every diagnostics_interval_sec
wall_epoch_s,ros_time_s,processed_time_s,newest_sensor_time_s,lag_s,rss_kb,rss_hwm_kb,vmsize_kb,vmswap_kb,threads,mem_available_kb,swap_free_kb,lidar_buf,img_buf,imu_buf,prop_imu_buf,root_voxels,visual_voxels,visual_points,path_poses,pub_wait_points,pcd_wait_points,dropped_lidar,dropped_img,dropped_imu,root_pruned_total,root_hardcap_pruned_total,visual_pruned_voxels_total,visual_pruned_points_total,pos_x,pos_y,pos_z,vel_norm,lio_down_s,lio_icp_s,lio_map_s,lio_total_s,lio_avg_s,vio_retrieve_s,vio_ekf_s,vio_generate_s,vio_update_s,vio_ref_s,vio_total_s,vio_avg_s
1790149212.000000,1790149212.061233,-1.000000,-1.000000,0.000000,116956,116956,1043504,0,11,4698348,2180252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1790149213.000000,1790149213.060735,-1.000000,-1.000000,0.000000,116956,116956,1043504,0,11,4694864,2180252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1790149214.000000,1790149214.060642,-1.000000,-1.000000,0.000000,117028,117172,1043672,0,11,4682892,2180252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1790149215.000000,1790149215.060883,-1.000000,-1.000000,0.000000,117028,117172,1043672,0,11,4652344,2180764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1790149216.000000,1790149216.060811,-1.000000,-1.000000,0.000000,117028,117172,1043672,0,11,4645992,2180764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1790149217.000000,1790149217.061125,-1.000000,-1.000000,0.000000,117028,117172,1043672,0,11,4636420,2180764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1790149218.000000,1790149218.061378,-1.000000,-1.000000,0.000000,117028,117172,1043672,0,11,4618680,2180764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1790149219.000000,1790149219.062455,-1.000000,-1.000000,0.000000,117028,117172,1043672,0,11,4598540,2181020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1790149220.000000,1790149220.232141,946690216.647868,946690217.377011,0.729143,208476,214436,1151892,0,14,4500868,2181020,8,3,164,0,2947,104,125,1,0,5066,0,0,0,0,0,0,0,-0.009313,0.024886,-0.000346,0.000000,0.006804,0.123787,0.028019,0.192216,0.192216,0.000004,0.000003,0.004300,0.000004,0.000003,0.004315,0.004315
1790149221.000000,1790149221.298336,946690216.905688,946690218.436046,1.530358,366608,366608,1499204,0,14,4334964,2181020,16,15,327,0,8076,181,274,3,0,19613,0,0,0,0,0,0,0,-0.010074,0.025226,-0.000070,0.004221,0.004767,0.115269,0.046661,0.167800,0.241542,0.014294,0.025699,0.012100,0.000135,0.000001,0.052229,0.028272
